LOCATION,MINUTES
 Bulyea Rd between Burley Dr - Burton Rd,695
 Princess Elizabeth Ave between 106 - 102 St,32522
100 Ave at Anthony Henday Dr,135
100 Ave between 68 - 71 St,120
100 St btwn 160 - 157 Ave,780
100 St btwn 161 - 165 Ave,745
101 Ave between 63 - 70 St,3499
101 Ave between 70 - 67 St,36338
101 St between 107A - 108 Ave,960
101 St between 108 - 107A Ave,705
101 St between 115 - 117 Ave,1869
101 St between 117 -115 Ave,2252
102 Ave between 138 - 137 St,39155
102 St between 115 - 116 Ave,150
102 St between 116 - 115 Ave,90
104 Ave between 151 - 152 St,120
104 Ave between 152 - 151 St,579
104 Ave between 163 - 165 St,315
104 Ave between 165 - 163 St,292
104 St between 76 - 78 Ave.,375
104 St between 78 - 76 Ave,602
104 St Between Univ. Ave. - 73 Ave.,18395
105 St between 19 - 20 Ave,8236
105 St between 20 - 19 Ave,1353
105 St between 97 - 98 Ave,7335
106 Ave between 65 - 67 St,22537
106 Ave between 74 - 76 St,1887
106 Ave between 90 - 92 St,213
106 Ave between Fulton Dr - 65 St,7276
106 Ave between Rowland Rd - 76 St,43111
106 St between 107 St - 56 Ave,150
106 St between 35 -36A Ave,3605
106 St between 36A - 38 Ave,5839
106 St between 36A - 40 Ave,874
106 St between 38 - 36A Ave,7284
106 St between 40 - 36A Ave,2603
106 St between 42 - 40 Ave,841
106 St between 45 - 48 Ave,7965
106 St between 48 - 45 Ave,12134
106 St between 56 - 60A Ave,2271
106 St between 56 Ave - 107 St,292
106 St between 60A - 56 Ave,2444
107 Ave between 110 - 113 St,4439
107 Ave between 113 - 110 St,5098
107 Ave between 124 - 122 St,19323
107 Ave between 136 -139 St,180
107 Ave between 139 - 136 St,180
107 Ave between 149 - 144 St,165
107 St between 129 - 130 Ave,586
107 St between 130 - 129 Ave,300
107 St between 130 - 132 Ave,315
107 St between 132 - 130 Ave,221
107 St between 134 - 135A Ave,90
107 St between 135A - 134 Ave,91
107 St between 47 - 51 Ave,195
107 St between 51 - 47 Ave,240
107 St SB btwn 123 -121 Ave,256
108 Ave between 103 - 102 St,495
109 St between 108 - 110 Ave,21505
109 St between 110 - 108 Ave,33422
109 St between 164 Ave - Beaumaris Rd,130
109 St between Beaumaris Rd - 164 Ave,280
110 Ave between 159 - 160A St,300
110 Ave between 160A - 159 St,608
110 St between 98 - 99 Ave,580
111 Ave between 113 - 110 St,1327
111 Ave between 113 - 116 St,969
111 Ave between 116 - 113 St,331
111 Ave between 116 - 119 St,672
111 Ave between 154 - 153 St.,180
111 Ave between 158 - 161 St.,180
111 St between 99 - 98 Ave,123
112 Ave between 76 - 78 St,3868
112 Ave between 78 - 76 St,5332
112 Ave btwn 55 - 53 St,13133
112 Ave EB between 81 - 79 St,3996
112 St between 65 - 68 Ave ,450
112 St between 68 - 65 Ave,360
113A St between 130 - 132 Ave,120
113A St between 132 - 130 Ave,28315
113A St between 134 - 136 Ave,25484
114 Ave between 46 - 48 St,1271
114 Ave between 48 - 46 St,585
114 St between 39 - 37 Ave,726
114 St between 51 - 53 Ave,1771
114 St. Between 54 - 56 Ave.,1080
115 St between 46 - 48 Ave,227
115 St between 48 - 46 Ave,120
117 St between 102 - 103 Ave,300
117 St between 142 - 144 Ave,137
118 Ave between 56 - 54 St,23980
118 Ave between 60 - 62 St,11274
118 Ave between 78 St - Wayne Gretzky Dr,23805
118 Ave between Wayne Gretzky Dr - 78 St ,12072
118 St between 103 - 102 Ave,225
118 St between 129 - 130 Ave,90
118 St between 145 - 152 Ave,90
118 St between 152 - 145 Ave,90
118 St between 87 - 89 Ave,180
118 St between 89 - 87 Ave,120
119 St between 134 - 135 Ave ,691
119 St between 135 - 134 Ave,693
119 St between Fairway Dr - 40 Ave,122
11A Ave between 56 - 58 St,152
11A Ave between 58 - 56 St,286
12 Ave between 39 - 45 St,291
12 Ave between 45 - 39 St,1034
12 Ave between Twin Brooks Cr - 113 St,334
12 Ave btwn Twin Brooks Dr - Twin Brooks Cr,151
121 Ave between 45 - 48 St,1166
121 Ave between 48 - 45 St,595
122 Ave between 89 - 90 St,1285
122 Ave between 90 - 89 St,2018
122 Ave between Dovercourt Cr - 134 St,130
127 Ave between 123 - 126 St,195
127 Ave between 126 - 123 St,9942
127 Ave between 88 - 90 St,857
127 Ave between 92 - 93 St,391
127 St between 109 - 109A Ave,1539
127 St between 115 - 116 Ave,4150
127 St between 115 - 117 Ave,30
127 St between 135 - 137 Ave,43984
